x,y,mystery_feature
31.9508056640625,-77.87466430664064,77
22.0,-36.0222625732422,104
28.500001907348633,-66.54669189453126,10
25.92315673828125,-69.75935363769536,24
30.45843505859375,-88.7156219482422,96
1.981903076171875,-80.19625854492186,47
1.1229248046875,-1.5393524169922017,59
24.887023925781307,-51.43858337402345,33
7.977790832519474,-11.779342651367202,19
34.1025390625,-36.10008239746095,23
5.41998291015625,-25.8440399169922,101
31.424194335937386,-60.46778869628908,83
27.239999771118192,-5.275772094726548,9
34.82275390625,-1.5393524169922017,113
26.420001983642578,-54.5828094482422,12
24.99078369140625,-51.82514953613283,95
31.199951171875,-2.9167938232422017,113
20.639999389648438,-18.1621551513672,5
16.1236572265625,-1.5393524169922017,59
13.58624267578125,-30.57858276367189,75
27.800048828125,-53.1433563232422,118
35.911376953125,-74.7196807861328,83
0.742584228515625,-66.5256805419922,35
13.0035400390625,-13.746604919433608,43
12.47998046875,-8.88284301757814,116
29.06005859375,-51.791015625000014,119
3.285430908203125,-1.5393524169922017,0
15.97515869140625,-21.14554595947267,86
8.024017333984375,-1.5393524169922017,45
23.280029296875,-20.77981567382814,105
6.10125732421875,-36.89134216308595,41
31.837188720703125,-66.48860168457033,49
26.4033203125,-49.5393524169922,117
22.212646484375,-61.756469726562514,66
19.640014648437273,-78.3552703857422,92
24.83154296875,-87.85450744628908,75
14.336822509765625,-61.06808471679689,42
30.470932006835938,-32.04104614257814,30
22.0,-6.021286010742202,104
2.47998046875,-80.61865234375001,117
6.18048095703125,-1.5393524169922017,50
1.199951171875,-67.9197235107422,116
36.67999267578125,-50.97889709472658,99
12.4306640625,-69.28421020507817,90
25.51641845703125,-35.10981750488283,48
25.639999389648438,-63.84465026855467,29
11.79046630859375,-82.75289916992186,86
0.52001953125,-16.6177215576172,63
36.675048828125,-50.98548889160158,95
18.347244262695312,-79.45593261718749,34
0.9237670898438068,-69.75935363769536,28
31.760009765625,-25.14627075195314,54
39.06005859375,-46.791015625000014,118
39.64001464843727,-63.3542938232422,90
12.34796142578125,-81.11788940429689,108
22.87078857421875,-20.65305328369142,74
