feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6
311.50119447685387,-434.375063247264,465.72459607949287,-13.75624388177816,63.15497720096241,-293.57247793756767,-74.13267799838131
278.7417814423835,-553.400130409578,276.38305368113083,48.56218174046322,42.45286378243016,-368.8402394706708,-74.59538179117604
416.01611803994604,-643.4244917601288,367.760501980803,131.6334995019713,23.159960268215148,-366.9945919427533,-77.40835366386294
267.47316798964914,-759.9088361925424,336.7705342313428,79.03717140379955,104.37843439020584,-175.5727650923517,-74.56114950379342
333.82691628656954,-740.8808826185467,245.5204974831044,-31.53666359940938,27.130919748544603,-573.0167836017072,-73.47591072992768
189.49545648269591,-463.3579514342746,311.78032128028684,70.62607237203216,30.305289170375442,-283.76966787190554,-75.16448614314334
160.9646970437289,-667.4649518731205,254.9920559816144,109.45960084961072,84.30284108400153,-433.4147580203994,-74.5399768660908
235.48564967250468,-658.2151480815421,396.5817542282898,-136.42261101139093,82.57373509703757,-198.21802058890304,-76.82166547626359
504.4565016338035,-773.9239994258235,229.41312745831016,-150.71234872844602,49.02679657199265,-450.15197247820845,-75.00445701528791
279.1925255948352,-716.3155092905556,257.95250920286685,393.65577884491785,107.84542240971035,-412.2799444984693,-76.39826016705776
93.7594454560474,-567.8970163830239,162.24516484965994,120.88715167617424,60.48377074697797,-392.0755486638336,-75.95231737208053
440.52681422095003,-715.4982510231732,301.2866442589718,-123.238243453436,38.558888762720954,-540.4335062661082,-75.64406435335522
170.3986385401426,-687.1853517798789,173.72398668744808,-198.31638312112298,62.82621995573662,-348.56340282533574,-75.3413926686663
335.5345487545933,-608.9048089705215,338.45260847662416,206.61645538564167,70.80409853939278,-225.82831492920903,-75.82955614203703
188.34019379203002,-645.0881233213313,414.15220391077776,-51.218089513798006,57.54458329612,-268.47692178366157,-74.16918824092718
135.3075846096943,-498.5432557304286,367.7630398685369,248.64856901946624,84.80468385675684,-268.63972771974016,-76.49566923715136
306.3815176872461,-553.6486554287758,358.2798169689225,114.43585868662359,52.44989304411278,-200.50560029561896,-75.39900638273863
-20.872151266231693,-542.5948385711454,439.49242945009286,-197.95463477179229,66.2180792847688,-145.48176474017575,-75.95151175678039
235.67324014848802,-710.7044956741357,424.61156940873747,-254.93157238680575,85.00176011434192,-384.6170957506857,-74.19158908174899
299.76628965451613,-472.0934258311607,259.35282415118303,-42.38846959727971,34.47471811364328,-382.74160208752784,-74.72656304407849
300.4316397346953,-597.8614153425243,242.4869427556696,67.80031739869145,27.73726194723752,-305.5838444316101,-74.24162666550718
302.26436326753293,-707.457387980998,282.3356063531185,97.23397514176862,49.26091203443893,-395.43874021592734,-76.34608454983616
330.1910437342209,-387.792350697271,439.8313043901921,66.0708427882911,74.5477364665876,-274.19299134077744,-74.9963415687731
